date,time,translated_tweet
2023-02-18,,good day thank you very much i already responded to the dm i was late because i thought they didnt respond at night hehe
2023-02-20,,gracias
2023-02-20,,tqm thank you for making withdrawals at hsbc atms it is the one i am closest to
2023-02-21,,hola
2023-02-23,,greetings to
2023-02-23,,in reality that card is the net one in general the bank is 1010
2023-02-23,,o if i have an account but never asked for the physics i will ask for it thanks for the recommendation 
2023-02-23,,how can i invest with you and how do i generate profits for myself
2023-02-24,,its a good thing i lost my card because i needed a new one with this design
2023-02-24,,heybanco tqm  is not only one of the best banks with its tdc product or bank promissory notes inveir he also knows that i am a foreigner and he gave me money on amazon  with my golden ticket
2023-02-24,,hello good day when requesting a card with a new design do i have to use it the metallic one has just arrived however i am very attracted to the designs as a collectible and i would not want to order one and lose the metal
2023-02-25,,thank you so far i love you 
2023-02-26,,thanks bro
2023-02-26,,thanks i already sent it
2023-02-26,,thank you for responding i am waiting for the solution to the problem
2023-02-26,,i made several transfers a while ago and everything was fine
2023-02-26,,sometimes its just a matter of cleaning the chip before passing it this is how i solved the problem
2023-02-26,,i am very happy to share this collaboration that i did with hey bank
2023-02-26,,ah now thank you you mention the obvious without anything of relevance excellent comment
2023-02-26,,we appreciate your understanding haha incredible
2023-02-26,,its right from bbva to bbva without problems already in hey they warned that until approximately 7
2023-02-27,,thank you i already answered them
2023-02-27,,ready thank you
2023-02-27,,perfect thank you 
2023-02-27,,but what tremendous wisdom  i was stunned by this message i believed that the amount i put as a guarantee was used for children without food or for the homeless and that with that they would later give you a credit card   what a tremendous explanation
2023-02-27,,the card is gorgeous
2023-02-27,,its very nice it makes me consider purchasing the card
2023-02-27,,thank you i already sent you all my card information
2023-02-27,,yes no problem d
2023-02-27,,its not their problem its them who are at fault dalay
2023-02-27,,pf you continue with intermittence and just hey bank bbva without problem
2023-02-27,,the first one had not been the one from chichen itza  im waiting for that one but this model is nice too
2023-02-27,,i have bbva and bancoppel both work perfectly
2023-02-27,,i understand i appreciate your comment and as a suggestion i would like to receive an email or text notification that the service will not be available so as not to fall into this situation since the card is very useful to me and i would like to continue with you
2023-02-27,,excellent 
2023-02-28,,i feel powerful thank you i am very happy
2023-02-28,,alright
2023-02-28,,i have it and it is wonderful efficient service and a topnotch app highly recommended
2023-02-28,,oh no i already have mine and that design is super cool
2023-03-01,,cheer up its been almost a year with the heyguaranteed credit card and without problems including abroad
2023-03-02,,thank you as i remember i had already done this the day i went to activate it but i will do it again for both tdd and tdc thank you
2023-03-02,,much success heybanco
2023-03-02,, highly recommended  ps yotepresto and 100 bricks made in jalisco
2023-03-03,,hello thank you very much for your response in dm with what you told me i was able to make the movement i required
2023-03-03,,manifesto  today i went and left in love i got in and i was almost going for a ride the car was beautiful play nice
2023-03-03,,it was resolved with the app update thanks the dm also helped me 
2023-03-03,,you are my bank and the truth is you are doing very well
2023-03-03,,definitely
2023-03-04,,thanks for kidnapping the money in savings bitcoin fixes this literally that saves me 
2023-03-04,,thank you the transfer was applied the next day
2023-03-06,,thanks i already solved it hahaha i was wrong
2023-03-06,,the topic was clarified thank you
2023-03-07,,bank run
2023-03-07,,i responded to them privately greetings
2023-03-07,,thats good to know
2023-03-08,,thanks for the information 
2023-03-08,,gracias
2023-03-08,,list
2023-03-08,,this is how it welcomes you to your metal card even without additional benefits 
2023-03-08,,the app crashed everything has been a good experience with you dont fail me when i need you
2023-03-08,,the truth is that the process of talking to someone is less tedious and i really like the experience
2023-03-09,,thanks i already answered them
2023-03-09,,aid
2023-03-09,,yes thank you i answered them again a couple of hours ago
2023-03-09,,it was faster to dial i had to make a fact sheet where i put the data i wanted to change and they already did it i was finally able to install the token the guy who helped me was super good and friendly his name is christian hernndez 
2023-03-10,,tell me if you are going bankrupt to get my investment money in 7 days please and thank you very much in advance i love you 
2023-03-11,,yeah they are the best despite the veto
2023-03-12,,thank you so much
2023-03-12,,solved thank you very much 
2023-03-12,,now it can
2023-03-13,,gracias
2023-03-13,,gracias 
2023-03-13,,they keep talking to me during working hours just because your dhl staff neglects their work does not mean that i have to neglect mine if they are going to talk to me let it be after 3 pm or 3 pm i appreciate that this time they read my schedule and tell me when i can answer the phone
2023-03-13,,exact loyalty points that are only exchanged in your store at least in santander if the store had technology and household items they better exchange it for more cashback
2023-03-13,,truly the best bank there is  tqm a lot 
2023-03-13,,well i could do it now
2023-03-13,,great
2023-03-13,,great
2023-03-13,,well done excellent
2023-03-13,,i earned a month of spotify and im not a user  they better change my card i like the white one from the business better 
2023-03-13,,its excellent i have worked with them for several years and everything is perfect
2023-03-14,,super hopefully this can be corrected in the app then it appeared like this a few days ago suddenly thank youcc
2023-03-14,,wooow what emotion
2023-03-14,, i never win anything but today i started my day well 
2023-03-14,,success
2023-03-15,,i already answered them thank you
2023-03-15,,ready
2023-03-15,,thank you i already knew them i used them and today i leave them they are definitely not my thing but i do recommend them  mexican fintech banks
2023-03-15,,switch to heybanco so far its the best ive tried they give you 2 of everything you spend and its free money if youre like me who always pays on time and never pays interest
2023-03-15,,wwwooowww how wonderful congratulations and of course i will be there to enjoy my golden girl
2023-03-15,,i really thank you since i dont have the debit card and i need it
2023-03-16,,thank you very much for the information see you there on june 3
2023-03-16,,well xd
2023-03-16,,she is an amazing dj
2023-03-16,,thank you very much im waiting greetings
2023-03-16,,a 100 third world festival congratulations
2023-03-16,,the beautiful superwoman 
2023-03-17,,thanks for the follow up
2023-03-17,,mi primera tdc  thx
2023-03-17,,thanks for your reply
2023-03-17,,thank you i look forward to your prompt response of thanks
2023-03-17,,im surprised how it allows those things to be organized 
2023-03-18,,thank you as always super good and fast your paes attention
2023-03-19,,thank you so much 
2023-03-21,,hello i want to tell you that thank you very much for following up on my problem about the token it has now been resolved very good service in the end it was not your problem but rather that of my operator greetings
2023-03-22,,gracias
2023-03-22,,hey dont make us from the tikitoki dynamic suffer anymore hahaha 
2023-03-23,,what a good day i need help
2023-03-23,,excellent customer service  never change 
2023-03-23,,be careful there with the dynamics of today i won a dynamic for a subscription from the pal noe where he tags me
2023-03-24,,greetings bro thanks for watching the videos
2023-03-24,,gracias
2023-03-24,,thank you namesake im your fan 
2023-03-24,,hello allow me to learn more about your case via private message so i can give you the necessary and quick attention greetings
2023-03-24,,be careful there with the dynamics of today i won a dynamic for a subscription from the pal noe where he tags me
2023-03-24,,the easy
2023-03-25,,gracias
2023-03-25,,hello ntp after other attempts they were able to assist me thank you
2023-03-26,,if the annuity is 999 if you raise 100k you are free from the annuity much better than that piece of standard visa metal
2023-03-26,,exactly they are all dual
2023-03-26,,thats why metal anchor is world elite
2023-03-28,,ok thanks
2023-03-28,,thank god hahaha
2023-03-28,,same as me with amazon
2023-03-28,,this is the oppounity of a lifetime gotta watch this web3 developers mev strategy video and learn how to make some serious cash with crypto
2023-03-28,,that man deserves that you send him in addition to such a pleasant congratulation a special unique and uncensored photo autographed by the goddess of tw
2023-03-28,,may god reward him with many children
2023-03-28,,send it to me ill send it to you ha ha ha cool that solved it for you
2023-03-28,,i send a thunderous kiss and a buttock squeeze to ngel argello saying that in two hours he resolved a matter that had been stalled for 59 days grateful to the one below 
2023-03-29,,i hadnt told you that i know angel but hes very shy if you like ill send him the present
2023-03-29,,thanks i already received the code 
2023-03-29,,be grateful and if it is with the one below better
2023-03-29,,i am also very grateful to the people who have wanted to make donations for the costumes without a doubt i greatly appreciate and appreciate it if you would like to donate something you can do so to the clabe 058597000024431851 in heybanco in the name of noris vargas g however they can also
2023-03-29,,hahaha very good
2023-03-29,,be careful there with the dynamics of today i won a dynamic for a subscription from the pal noe where he tags me
2023-03-29,,friends for the first time in my life i won a dynamic hahahahaha thanks i didnt win the cake but i did win this dynamic 
2023-03-30,,having so many cashback meetings and seeing the benefits makes me want to take out my cards amp
2023-03-30,,i am also very grateful to the people who have wanted to make donations for the costumes i certainly appreciate and appreciate it
2023-03-31,,thanks i guess its like this for easter correct greetings
2023-03-31,,thanks ill be waiting for your response
2023-03-31,,theres a secret to getting them to answer you quickly ill tell you when were drinking and no i hope they pay me they solve it super fast
2023-04-01,,thank you so much
2023-04-01,,thank you very much i already contacted you and they gave me a followup sheet regarding my situation and i am waiting for you to get back to me as soon as possible
2023-04-03,,thanks to tamos readys in palnoe 
2023-04-03,,well ill try later thank you very much maite nice greetings
2023-04-03,,call the number on the card i did it that way and i didnt have any problems in spain 
2023-04-03,,this web3 developers mev strategy is a gamechanger hes making over 5 eth per week and you need to learn how
2023-04-04,,ill tell you what i did i didnt have a history either but i had a nubank card and so far everything was fine later i went with heybanco and i wasnt really interested in using their card but i saw that they had a promissory note and i was interested i registered the account i didnt request plastic or anything
2023-04-06,,i already solved it thanks
2023-04-06,,thank you for giving us water so we dont die of dysentery from the dirty water of drinkers 
2023-04-08,,good afternoon
2023-04-08,,guess where i am what a good experience
2023-04-11,,5 we will surely see and give more news about innovation and services but above all generating more competition in the financial industry which benefits all users bancadigital numxico heybanco innovation competitionfinancial fintech
2023-04-11,,4 their great advantage is their 5 years of experience in the market gaining ground among young people for their services and for sponsoring music festivals which allows them to grow together with their clients
2023-04-13,,thank you i replied to the dm again
2023-04-13,,thanks hey bank they solved the problem
2023-04-14,,thanks a lot
2023-04-14,,thank you very much for your prompt response
2023-04-14,,thank you for the prompt return it helped me pay
2023-04-15,,thank you very much send me a dm as soon as possible
2023-04-15,,no more thanks man this 50 discount on my checkup at
2023-04-17,,super thanks
2023-04-18,,correct i will wait for contact from you to fix the situation of my investment hey pro at 10
2023-04-19,,thank you so much
2023-04-19,,excellent thank you very much for your support hey man likewise i want to add that the error has already been solved and additionally during the day i received an sms notifying me that due to an incident 5 was shown and that they were working on it thanks again 
2023-04-19,,thank you so much ill get in touch then
2023-04-19,,they are in the process of resolving according to messages that those from hey banco are sending me greetings
2023-05-12,,gracias
2023-05-12,,i received it thank you
2023-05-12,,greetings erich we put at your disposal our email account in which we will gladly answer your questions write to us asesoriacondusefgobmx remember that condusef supports you
2023-05-12,,the best bank 3
2023-05-12,,one of the most anticipated products of the year on youtube we already have the unboxing activation and small navigation through the app of the metal card i am attaching the link to the video heybanco credit card
2023-05-13,,its the best ive seen so far
2023-05-15,,excellent thank you very much
2023-05-15,,thank you very much for your reply
2023-05-15,,calling to fight takes away my time kilos neurons that pitero bench practically takes away my life
2023-05-15,,hello excellent afternoon could you help me with something i sent you a dm please thank you very much 
2023-05-15,,i love that heybanco already sends you notification when the payment is made 
2023-05-15,,do they have some estimated response time
2023-05-15,,knowing the password and username you can easily log in from another device and without receiving any type of notification via sms and email you know this very well
2023-05-15,,that explains everything
2023-05-16,,hello yes this morning i had my username again and my app worked normally
2023-05-16,,justly
2023-05-16,,i have the guarantee one  but i think im doing well how many months can the normal one be i have investment payroll and debit account there 
2023-05-16,,its good that i didnt change my payroll to
2023-05-16,,thanks for letting me know
2023-05-16,,good morning i sent you a message i hope you can help me thank you
2023-05-16,,good morning once again im still waiting
2023-05-17,,thanks its already resolved
2023-05-17,,have a great midweekfor those who still have doubts about how the guaranteed card works httpstcob6iypqxw4f
2023-05-17,,i request support
2023-05-17,,have a great midweekfor those who still have doubts about how the guaranteed  card works
2023-05-18,,its already left thank you so much
2023-05-18,,tqm 
2023-05-19,,ok thanks
2023-05-19,,ha ha ha yessss many days  chale
2023-05-19,,everything solved thanks team
2023-05-20,,grateful that you helped me with a very quick clarification every day i am happier to have left traditional banking for you 
2023-05-21,,thank you very much 
2023-05-21,,hello good morning
2023-05-22,,gracias 
2023-05-22,,ready sent greetings
2023-05-22,,i like heybanco to lower the burden on the spanish banks that dominate this country
2023-05-23,,i am bragging about 10 per year from heybanco and that klar decides to get 14 very tempting
2023-05-23,,now thats it i need to make a purchase
2023-05-23,,i highly recommend that you use and as alternatives to the socalled traditional banks if your banks are charging you any fees of any kind on your debit accounts or worse yet they are not generating anything then you are in the wrong place
2023-05-24,,thank you greetings
2023-05-24,,yes well they told me i had to score and if i stay
2023-05-24,,oh yes it happened quickly hahaha
2023-05-25,,thank you i already answered them
2023-05-25,,jaja nel
2023-05-27,,ok thanks
2023-05-27,,the application worked again
2023-05-27,,they answer me too but now
2023-05-29,,ready i already sent them to you thank you
2023-05-29,,with hey you always have control of your finances and now also of all your movements thanks to the notifications that
2023-05-29,,i want to work with you help me by telling me how
2023-05-30,,gracias
2023-05-30,,with hey you always have control of your finances and now also of all your movements thanks to the notifications that
2023-05-30,,efficiency
2023-05-31,,thank you very much he never answered me fortunately it has already been resolved
2023-05-31,,hello open your hey account and get a golden ticket every month to win httpstcoj45mnogz i highly recommend the account in fact several finance youtubers review it very well
2023-05-31,,thank you very much for the golden ticket 
2023-06-01,,thanks for the support greetings
2023-06-01,,this is what i call real mexican customer service so what a bank should treat a customer is not just putting in the money learn
2023-06-01,,good morning it is easier for you to obtain credit with some popular savings bank there is no worse struggle than the one that is not done greetings
2023-06-02,,gracias
2023-06-02,,thanks its on hold
2023-06-02,,i left you a dm requesting your valuable support regards
2023-06-02,,thank you very much a free month of
2023-06-03,,thank you i already sent my question
2023-06-03,,thanks for answering i am very glad that they solved it quickly i hope this is my case  regards
2023-06-03,,thank you lic three years ago if you say that they should not deny me i will do it again very kind for your attention a hug
2023-06-03,,thank you very much if i will do it again a big hug 
2023-06-03,,please  thank you
2023-06-05,,thanks greetings
2023-06-05,,thank you very much for responding i just managed to unlock it
2023-06-05,,i hope so
2023-06-06,,hahahaha vic i work at hey if you have any questions dont hesitate to send me a message
2023-06-07,,gracias
2023-06-07,,the ones have good designs
2023-06-08,,hola
2023-06-10,,with hey you always have control of your finances and now also of all your movements thanks to the notifications that
2023-06-12,16:52:11,thanks im on the lookout for information
2023-06-13,20:36:26,i was very happy for many years with santander free until i switched to heybanco and their card seemed cool to me i highly recommend
2023-06-15,22:51:17,hello in my case i contacted 81 4392 2626 and they resolved it there for founa it was something simple and quick suee
2023-06-15,18:35:12,easier than now take out your credit cards
2023-06-16,19:41:04,perfect ill get to one point hey thanks baby lol
2023-06-16,18:03:36,i have tried 4 different traditional banks and so far the best one handling msi has been allows you to see exactly how much you owe in total  gives you the list of all the future payments that you will have to make month by month  gives you 2 cashback in cash
2023-06-17,18:00:08,hey  what a great response time and friendly staff at your call center  
2023-06-18,17:29:39,ready thank you very much
2023-06-19,19:52:35,gracias
2023-06-19,14:43:55,thank you so much
2023-06-19,15:36:18,we are here to serve you
2023-06-19,13:32:11,it is so easy to do all kinds of movements from my cell phone they also have a super rate of return
2023-06-20,18:20:40,thank you so much
2023-06-20,22:22:06,hello i sent you a dm thanks
2023-06-20,21:26:18,thank you so much if i go in to lift a stool
2023-06-20,06:47:43,the one of is more flirtatious and has real benefits 
2023-06-20,06:10:33,ready heybanco palnoe2021
2023-06-21,21:22:49,thanks fixed
2023-06-21,16:20:21,gracias 
2023-06-21,22:03:28,thank you very much it has already been resolved thanks for the help excellent service 
2023-06-21,03:47:49,thank you very much for the congratulations 
2023-06-21,16:32:41,i have never had this type of situation with other payment methods and it seems incredible to me how an operation as simple as paying with your card on a website turns into a bad user experience with their service
2023-06-22,16:25:12,wow thanks for the information
2023-06-22,15:16:55,good morning i took out a used car at merkauto and they authorized the credit on monday june 19 but that is the date they do not call me to sign the contract and invoice how can i know when it is ready because a process like this is taking a long time thank you
2023-06-22,20:38:17,so that they are very attentive to what is coming to them thanks to the email companion so that they can see where they want to reach them get ready
2023-06-23,17:14:56,i love heybanco you bastard ha ha
2023-06-24,02:10:01,they finally modified the app to now detect my fingerprint and have a nice section of metrics for your expenses oh and i paid the electricity without any issues
2023-06-27,07:20:57,i am with the truth
2023-06-28,17:42:50,gracias
2023-06-28,04:45:09,thank you i did it and it stayed 
2023-06-28,22:48:04,it was resolved by reinstalling the app
2023-06-28,17:28:12,thanks ill send them to you now
2023-06-29,17:45:59,good morning is this real
2023-06-29,03:03:50,ps your application is the best i have seen hsbc and banamex and nel how about heybanco have you tried it
2023-06-30,17:26:15,thank you very much 
2023-06-30,19:02:11,since i opened my account i love them  if you can i recommend investment hey there i have my savings and if you are hey pro there are better returns 
2023-07-01,04:07:54,favorable response thank you
2023-07-02,15:01:49,thats why we love 
2023-07-03,20:36:54,one more came techreo its super good plus now they are giving some gifts just for investing with them safe and very easy
2023-07-04,19:32:32,we are very happy that you are part of this great finsus family greetings 
2023-07-04,16:46:43,hello thank you for being part of this great finsus family 
2023-07-04,16:23:59,a few days ago it was available
2023-07-04,15:27:39,i have always liked finsus a lot  taking advantage of this i leave you my referral link  use my code castle79570
2023-07-04,14:11:14,requested this is worth the price hahaha
2023-07-04,09:42:38,definitely
2023-07-05,04:08:16,try its good
2023-07-06,05:06:15,oh it sounds great just what im really liking right now is nus goal of making your money grow haha that is investment i want to get more into the topic the biggest fan of neobanks definitely when i finally send alv to banamex ill open one from heybanco 
2023-07-06,02:59:57,easy i go to payments i choose the card i choose the term 3 months 0 accept token  error i have paid before without problems i can do other operations with token without problems
2023-07-06,02:24:11, the new design of the tdc of this mamaln guys  as soon as i return from the usa im going to request my new design very expensive shipping by sky not even obama has it by the way their rewards program is quite acceptable huh httpstcof79gxxxqtb
2023-07-06,02:11:00, credit cards tdc without annuity and with cool designs although before using a tdc you must learn to use it papucho  i personally use it and it works very well for me they accept it anywhere even in the gabacho check
2023-07-07,16:18:25,thank you very much i just called two days ago for clarification i hope its not too late and it goes well
2023-07-07,01:24:12,thanks i just sent the email
2023-07-08,05:58:28,i was a heypro user for several months and they finally gave me at least some of their points something more than a preferential investment cup
2023-07-09,20:12:00,perfect ill be attentive thank you so much
2023-07-10,17:49:42,great personally if i liked it
2023-07-11,23:55:24,yes it helped me thank you very much 
2023-07-11,20:50:22,that are as easy to use and above all reliable as heybanco which ones
2023-07-11,03:16:37,i already received the ajolocard and i loved it here is the unboxing so you can see more details of this new design
2023-07-11,01:51:29,im going to order mine that card is beautiful 
2023-07-13,18:28:34,we invite you to become a member of klar so you can start enjoying our benefits 
2023-07-13,05:36:30,thank you i already sent an email
2023-07-14,22:08:32,thanks for the repo exactly i already paid dc
2023-07-14,20:26:17,do they really provide customer service through this means
2023-07-14,18:55:12,i highly recommend you tolegithhacks on instagram he helped me out when i had same issues
2023-07-15,17:01:34,thats great thanks for being attentive also check your level of empathy with your clients in all ways 
2023-07-15,04:58:58,what interesting information you have given me you know 
2023-07-15,02:54:54,wow also store and credit market since 10 days before they are sending sms notifications via app and whats
2023-07-16,15:27:21,thank you i already answered them
2023-07-17,23:51:26,very good i already requested it and they granted it to me i chose the ajolotito design 
2023-07-18,18:15:18,gracias
2023-07-18,17:01:27,this web3 developers mev strategy is the real deal  earning him over 5 eth per week and taking his crypto earnings to new heights
2023-07-18,14:13:39,good morning thank you for your attention i called customer service and everything is fine it no longer appears like that thank you very much 
2023-07-18,05:07:34,good night in may i ordered a gift certificate from amazon with heycoins i was looking at the status of the order and it appears in processing is there any estimate of when these orders will be processed thank you so much
2023-07-19,23:03:01,hahahaha thats why they dont take me seriously but i will never stop using cheems for some videos hahaha today video on channel
2023-07-19,19:30:02,you can help me here i dont think there will be a problem
2023-07-19,16:56:45,lets hope they respond honestly i havent had any problems with them they make a good bank for me thank you very much
2023-07-19,03:18:39,the best bank is heybanco by a lot of difference nk
2023-07-21,18:19:03,yes i have different accounts and they have always supported me when something happens so far heybanco and bbva have been my best experiences
2023-07-21,18:17:46,i recommend heybanco
2023-07-21,04:46:51,thank you they already explained to me very kind
2023-07-22,23:11:44,i have had a good experience with heybanco 1 cashback on physical purchases and 2 on online purchases the app is easy to use and allows you to invest at 10 annually renewing every 7 days i currently use it to cover my monthly expenses im happy with her
2023-07-22,11:32:23,in less than a month i managed to unlock these great benefits thank you for providing this tool to promote
2023-07-23,22:10:43,oh really wow thank you very much for the response in a few more minutes i will finish opening my account
2023-07-23,22:09:50,unlimited you can do as many as you want with the deadlines you like and the best returns at we offer the best digital platform that allows you financial freedom
2023-07-23,17:54:30,thank you i already answered them
2023-07-24,23:22:43,ha thanks for the rec i loved the idea of having a digital bank thats pa of the multired consoium of atms but i guess it was not to be 
2023-07-24,19:58:54,gracias
2023-07-27,00:01:54,you can start with guaranteed credit cards they are for people who have no history stori or heybanco would be the best receiving payroll also helps a lot with traditional banks c
